env_id,model_label,seed,support_class,reliability_auc,catastrophe_prob_t0p5,cvar20
Walker2d-v5,klprho0p05,16,out_of_support,0.8078824595494426,0.2074074074074074,0.5979159087491985
Walker2d-v5,klprho0p05,16,related_physics,0.738812115233062,0.23597883597883598,0.4345784079649076
Walker2d-v5,klprho0p05,17,direct_support,0.47195765666358036,0.55,0.03196619547887452
Walker2d-v5,klprho0p05,17,out_of_support,0.8514162075389065,0.15185185185185182,0.6757584963966332
Walker2d-v5,klprho0p05,17,related_physics,0.7531558377226253,0.26296296296296295,0.4262107482924249
Walker2d-v5,klprho0p05,18,direct_support,0.4509685886027546,0.5142857142857142,0.033653403472647815
Walker2d-v5,klprho0p05,18,out_of_support,0.75784592295066,0.22592592592592592,0.5629826122256207
Walker2d-v5,klprho0p05,18,related_physics,0.7580584359671474,0.20317460317460317,0.4456285427063756
Walker2d-v5,klprho0p05,19,direct_support,0.15240856074058934,1.0,0.01356338148977998
Walker2d-v5,klprho0p05,19,out_of_support,0.23638885049564923,1.0,0.17447088899281502
Walker2d-v5,klprho0p05,19,related_physics,0.21102282928041488,1.0,0.13352882740554328
Walker2d-v5,klprho0p05,20,direct_support,0.1902460750364521,1.0,0.028717278452011816
Walker2d-v5,klprho0p05,20,out_of_support,0.3269424541529303,1.0,0.2156080455827062
Walker2d-v5,klprho0p05,20,related_physics,0.31248824518714385,0.9074074074074073,0.1517828378159548
Walker2d-v5,klprho0p05,21,direct_support,0.3453619475277343,0.6523809523809523,0.028106924750260342
Walker2d-v5,klprho0p05,21,out_of_support,0.5472051988522932,0.3111111111111111,0.35851261085158764
Walker2d-v5,klprho0p05,21,related_physics,0.4861668900843321,0.3947089947089947,0.2378130855479489
Walker2d-v5,klprho0p05,22,direct_support,0.5503365843632199,0.4809523809523809,0.039783920996557705
Walker2d-v5,klprho0p05,22,out_of_support,0.8540669103537856,0.15185185185185182,0.7010938649957543
Walker2d-v5,klprho0p05,22,related_physics,0.7898570919173018,0.22433862433862434,0.4821740571713624
