env_id,model_label,seed,axis,support_class,reliability_auc,catastrophe_prob_t0p5,cvar20
Walker2d-v5,klprho0p05,9,foot_left_mass,related_physics,0.7899645424487732,0.0,0.7187614579848622
Walker2d-v5,klprho0p05,10,foot_left_mass,related_physics,0.911656829159715,0.14285714285714285,0.6004289667901785
Walker2d-v5,klprho0p05,11,foot_left_mass,related_physics,0.9441047254134343,0.0,0.871780729310312
Walker2d-v5,klprho0p05,12,foot_left_mass,related_physics,0.8824234440687365,0.14285714285714285,0.475711531240446
Walker2d-v5,klprho0p05,13,foot_left_mass,related_physics,0.5953639412024126,0.2857142857142857,0.3739615426305509
Walker2d-v5,klprho0p05,14,foot_left_mass,related_physics,0.8300715799130097,0.0,0.8136355986118713
Walker2d-v5,klprho0p05,15,foot_left_mass,related_physics,0.943918089602363,0.07142857142857142,0.7600227771078331
Walker2d-v5,klprho0p05,16,foot_left_mass,related_physics,0.8204402243715946,0.07142857142857142,0.5492889280274915
Walker2d-v5,klprho0p05,17,foot_left_mass,related_physics,0.9987795286989058,0.0,1.0309985485204418
Walker2d-v5,klprho0p05,18,foot_left_mass,related_physics,0.8245586675063391,0.14285714285714285,0.4534334955451646
Walker2d-v5,klprho0p05,19,foot_left_mass,related_physics,0.259111438793335,1.0,0.22033905808144957
Walker2d-v5,klprho0p05,20,foot_left_mass,related_physics,0.3583857189317828,0.7142857142857143,0.18294680202827585
Walker2d-v5,klprho0p05,21,foot_left_mass,related_physics,0.6178242336378625,0.14285714285714285,0.3992477326935859
Walker2d-v5,klprho0p05,22,foot_left_mass,related_physics,1.0,0.0,1.1080922888919245
Walker2d-v5,klprho0p05,23,foot_left_mass,related_physics,0.9044092403238987,0.0,0.6880638842476711
Walker2d-v5,klprho0p05,24,foot_left_mass,related_physics,0.5980447449417552,0.42857142857142855,0.22714092278803252
Walker2d-v5,klprho0p05,25,foot_left_mass,related_physics,0.9597154262319069,0.0,0.8314276428187767
Walker2d-v5,klprho0p05,26,foot_left_mass,related_physics,0.9357136329088311,0.0,0.7470112928055516
Walker2d-v5,klprho0p05,27,foot_left_mass,related_physics,0.9658995229009049,0.0,0.846139607285254
Walker2d-v5,klprho0p05,28,foot_left_mass,related_physics,0.7274802663354837,0.14285714285714285,0.40648090074265
Walker2d-v5,klprho0p05,29,foot_left_mass,related_physics,0.7322799035442653,0.14285714285714285,0.42239468397843677
Walker2d-v5,klprho0p05,30,foot_left_mass,related_physics,0.8976928405696744,0.0,0.7328500038462845
Walker2d-v5,klprho0p05,31,foot_left_mass,related_physics,0.9748889292474213,0.0,0.8898106053114372
Walker2d-v5,klprho0p05,32,foot_left_mass,related_physics,0.9382042910994637,0.0,0.7116200251308303
Walker2d-v5,klprho0p05,33,foot_left_mass,related_physics,0.868265753318736,0.0,0.6141825468592662
Walker2d-v5,klprho0p05,34,foot_left_mass,related_physics,0.8247713277322657,0.0,0.5747650402618691
Walker2d-v5,klprho0p05,35,foot_left_mass,related_physics,0.937994189306779,0.0,0.7180757789240925
Walker2d-v5,klprho0p05,6,leg_left_mass,related_physics,0.9909900780168776,0.0,0.9632188163013305
Walker2d-v5,klprho0p05,7,leg_left_mass,related_physics,0.0416256267167595,1.0,0.003819212279147243
Walker2d-v5,klprho0p05,8,leg_left_mass,related_physics,0.9639131135301848,0.0,0.9544747486764781
Walker2d-v5,klprho0p05,9,leg_left_mass,related_physics,0.8228065741156404,0.0,0.8029080997569099
Walker2d-v5,klprho0p05,10,leg_left_mass,related_physics,0.99898160237342,0.0,1.0100502256422286
Walker2d-v5,klprho0p05,11,leg_left_mass,related_physics,0.9669598526222878,0.0,0.9508531906343566
Walker2d-v5,klprho0p05,12,leg_left_mass,related_physics,1.0,0.0,1.0489419314724469
Walker2d-v5,klprho0p05,13,leg_left_mass,related_physics,0.7113830217555159,0.14285714285714285,0.5076427126237825
Walker2d-v5,klprho0p05,14,leg_left_mass,related_physics,0.8420075588519865,0.0,0.824319155330037
Walker2d-v5,klprho0p05,15,leg_left_mass,related_physics,0.9961604394123565,0.0,0.9827816332836378
Walker2d-v5,klprho0p05,16,leg_left_mass,related_physics,0.9529542471610307,0.0,0.8003411739247702
Walker2d-v5,klprho0p05,17,leg_left_mass,related_physics,1.0,0.0,1.1166169862741293
Walker2d-v5,klprho0p05,18,leg_left_mass,related_physics,0.9670314565158964,0.0,0.8943130118579924
Walker2d-v5,klprho0p05,19,leg_left_mass,related_physics,0.27228416343444395,1.0,0.25299447429902716
Walker2d-v5,klprho0p05,20,leg_left_mass,related_physics,0.4009348784150729,0.8571428571428571,0.2971090103787543
Walker2d-v5,klprho0p05,21,leg_left_mass,related_physics,0.6608116855666862,0.0,0.5886972337312945
Walker2d-v5,klprho0p05,22,leg_left_mass,related_physics,1.0,0.0,1.16028426439196
Walker2d-v5,klprho0p05,23,leg_left_mass,related_physics,1.0,0.0,1.083278793303438
Walker2d-v5,klprho0p05,24,leg_left_mass,related_physics,0.5896385901282609,0.42857142857142855,0.2617885858214244
Walker2d-v5,klprho0p05,25,leg_left_mass,related_physics,1.0,0.0,1.289134532979508
Walker2d-v5,klprho0p05,26,leg_left_mass,related_physics,0.9880625528540844,0.0,0.9467900552968569
Walker2d-v5,klprho0p05,27,leg_left_mass,related_physics,0.995923322052449,0.0,1.007288242137215
Walker2d-v5,klprho0p05,28,leg_left_mass,related_physics,0.8619693292184578,0.0,0.8299762377637004
Walker2d-v5,klprho0p05,29,leg_left_mass,related_physics,0.8167371919688764,0.0,0.7966892010138737
Walker2d-v5,klprho0p05,30,leg_left_mass,related_physics,0.9562382176651376,0.0,0.9269760939627224
Walker2d-v5,klprho0p05,31,leg_left_mass,related_physics,1.0,0.0,1.077937939305163
Walker2d-v5,klprho0p05,32,leg_left_mass,related_physics,1.0,0.0,1.1731720198268183
Walker2d-v5,klprho0p05,33,leg_left_mass,related_physics,0.9983815078395385,0.0,1.0114210277543727
Walker2d-v5,klprho0p05,34,leg_left_mass,related_physics,0.918570164076302,0.0,0.8766650422700849
Walker2d-v5,klprho0p05,35,leg_left_mass,related_physics,1.0,0.0,1.0805640741239464
Walker2d-v5,klprho0,6,damping,out_of_support,1.0,0.0,1.0656381346011568
Walker2d-v5,klprho0,7,damping,out_of_support,1.0,0.0,1.087622624545211
Walker2d-v5,klprho0,8,damping,out_of_support,1.0,0.0,1.137992086407208
Walker2d-v5,klprho0,9,damping,out_of_support,0.9787213311689325,0.0,0.9774668033105712
Walker2d-v5,klprho0,10,damping,out_of_support,0.6201331966630529,0.0,0.5557502559710535
Walker2d-v5,klprho0,11,damping,out_of_support,0.9898938027069605,0.0,0.9534175325053295
Walker2d-v5,klprho0,12,damping,out_of_support,1.0,0.0,1.3646401382105768
Walker2d-v5,klprho0,13,damping,out_of_support,0.9964115389296847,0.0,0.9820576946484237
Walker2d-v5,klprho0,14,damping,out_of_support,1.0,0.0,1.138635489851487
Walker2d-v5,klprho0,15,damping,out_of_support,1.0,0.0,1.2035482314415553
Walker2d-v5,klprho0,16,damping,out_of_support,1.0,0.0,1.146246286107625
Walker2d-v5,klprho0,17,damping,out_of_support,1.0,0.0,1.0161874860171658
Walker2d-v5,klprho0,18,damping,out_of_support,0.9998849080512547,0.0,1.022513935479162
Walker2d-v5,klprho0,19,damping,out_of_support,0.9586083253355432,0.0,0.9549284261421448
Walker2d-v5,klprho0,20,damping,out_of_support,1.0,0.0,1.0185511287730917
Walker2d-v5,klprho0,21,damping,out_of_support,1.0,0.0,1.3600534559429347
Walker2d-v5,klprho0,22,damping,out_of_support,1.0,0.0,1.2561858190766246
Walker2d-v5,klprho0,23,damping,out_of_support,1.0,0.0,1.00534373560988
Walker2d-v5,klprho0,24,damping,out_of_support,0.8775243255355265,0.0,0.8756741572911025
Walker2d-v5,klprho0,25,damping,out_of_support,0.899804352798053,0.0,0.8366081097562837
Walker2d-v5,klprho0,26,damping,out_of_support,0.984795534292457,0.0,0.9239776714622847
Walker2d-v5,klprho0,27,damping,out_of_support,0.9695645233857265,0.0,0.9657606604469057
Walker2d-v5,klprho0,28,damping,out_of_support,0.998656320753129,0.0,0.9942835537032376
Walker2d-v5,klprho0,29,damping,out_of_support,1.0,0.0,1.0599623186876899
Walker2d-v5,klprho0,30,damping,out_of_support,1.0,0.0,1.0133738670070915
Walker2d-v5,klprho0,31,damping,out_of_support,0.9504058789358731,0.0,0.9452823742269749
Walker2d-v5,klprho0,32,damping,out_of_support,1.0,0.0,1.0616810348068078
Walker2d-v5,klprho0,33,damping,out_of_support,0.9867840063207841,0.0,0.9446136101826723
Walker2d-v5,klprho0,34,damping,out_of_support,0.9282416789796403,0.0,0.9266428445613376
Walker2d-v5,klprho0,35,damping,out_of_support,1.0,0.0,1.3152424766521857
Walker2d-v5,klprho0p05,6,thigh_left_mass,related_physics,0.9881311791693982,0.0,0.946876900890015
Walker2d-v5,klprho0p05,7,thigh_left_mass,related_physics,0.051921858251239295,1.0,0.004206395342304009
Walker2d-v5,klprho0p05,8,thigh_left_mass,related_physics,0.930701188488797,0.0,0.8720704270386284
Walker2d-v5,klprho0p05,9,thigh_left_mass,related_physics,0.7524804452960577,0.07142857142857142,0.5873554122966521
Walker2d-v5,klprho0p05,10,thigh_left_mass,related_physics,0.9998021324830075,0.0,1.0052282239158836
Walker2d-v5,klprho0p05,11,thigh_left_mass,related_physics,0.9077369541370958,0.0,0.8015142359244788
Walker2d-v5,klprho0p05,12,thigh_left_mass,related_physics,1.0,0.0,1.0114557890851217
Walker2d-v5,klprho0p05,13,thigh_left_mass,related_physics,0.7226379556571957,0.2857142857142857,0.2622109008422964
Walker2d-v5,klprho0p05,14,thigh_left_mass,related_physics,0.8301601926534713,0.0,0.8037566250357461
Walker2d-v5,klprho0p05,15,thigh_left_mass,related_physics,0.9767307010600359,0.0,0.941119595770449
Walker2d-v5,klprho0p05,16,thigh_left_mass,related_physics,0.9671362273026044,0.0,0.8650771201815393
Walker2d-v5,klprho0p05,17,thigh_left_mass,related_physics,1.0,0.0,1.0987628722218188
Walker2d-v5,klprho0p05,18,thigh_left_mass,related_physics,0.9305604748949435,0.0,0.866032005863695
Walker2d-v5,klprho0p05,19,thigh_left_mass,related_physics,0.26729338325926155,1.0,0.2532858093011141
Walker2d-v5,klprho0p05,20,thigh_left_mass,related_physics,0.4004726396322337,1.0,0.33121188419259523
Walker2d-v5,klprho0p05,21,thigh_left_mass,related_physics,0.6546772376512295,0.14285714285714285,0.46970359433966785
Walker2d-v5,klprho0p05,22,thigh_left_mass,related_physics,1.0,0.0,1.1046823403150121
Walker2d-v5,klprho0p05,23,thigh_left_mass,related_physics,1.0,0.0,1.1026394673367168
Walker2d-v5,klprho0p05,24,thigh_left_mass,related_physics,0.868744011545161,0.07142857142857142,0.6585842838542221
Walker2d-v5,klprho0p05,25,thigh_left_mass,related_physics,1.0,0.0,1.2815755858499174
Walker2d-v5,klprho0p05,26,thigh_left_mass,related_physics,0.9976091791194549,0.0,0.9944549129207254
Walker2d-v5,klprho0p05,27,thigh_left_mass,related_physics,0.9998700268112323,0.0,1.0106588750635976
Walker2d-v5,klprho0p05,28,thigh_left_mass,related_physics,0.8417799101687723,0.0,0.7866382104569803
Walker2d-v5,klprho0p05,29,thigh_left_mass,related_physics,0.7838670643304904,0.0,0.6821383983749708
Walker2d-v5,klprho0p05,30,thigh_left_mass,related_physics,0.9177120275569246,0.0,0.838501150444727
