env_id,axis,stress_factor,seed,best_model,best_return,vanilla_return,best_minus_vanilla,num_models_above_vanilla
Walker2d-v4,foot_left_damping,0.5,16,tvc225,854.1203637845429,662.8113270723095,191.30903671223336,4
Walker2d-v4,foot_left_damping,0.5,17,tvc300,1473.893527446946,1152.3133448315225,321.5801826154236,1
Walker2d-v4,foot_left_damping,0.5,18,tvc300,1078.207627231429,876.2238160717261,201.98381115970278,3
Walker2d-v4,foot_left_damping,0.5,19,vanilla,2282.2473975147723,2282.2473975147723,0.0,0
Walker2d-v4,foot_left_damping,0.5,20,tvc300,3257.169019263848,755.2997832695953,2501.8692359942524,3
Walker2d-v4,foot_left_damping,0.5,21,tvc250,1978.9779049924623,735.9210717735615,1243.056833218901,3
Walker2d-v4,foot_left_damping,0.5,22,tvc300,1314.6680789059842,989.2632523866944,325.4048265192898,1
Walker2d-v4,foot_left_damping,0.5,23,tvc250,1337.4633290541424,633.0868191428574,704.376509911285,5
Walker2d-v4,foot_left_damping,0.5,24,tvc250,2782.932058507182,700.2758699839121,2082.6561885232695,2
Walker2d-v4,foot_left_damping,0.5,25,vanilla,2468.7686141352806,2468.7686141352806,0.0,0
Walker2d-v4,foot_left_damping,0.5,26,vanilla,772.7474559456144,772.7474559456144,0.0,0
Walker2d-v4,foot_left_damping,0.5,27,tvc275,729.1655640241127,526.6684953225558,202.49706870155683,5
Walker2d-v4,foot_left_damping,0.5,28,vanilla,848.2001702054216,848.2001702054216,0.0,0
Walker2d-v4,foot_left_damping,0.5,29,tvc250,876.3714933306807,476.19887895336944,400.1726143773112,4
Walker2d-v4,foot_left_damping,0.5,30,vanilla,3051.560834666632,3051.560834666632,0.0,0
Walker2d-v4,foot_left_friction,0.5,1,vanilla,2550.664486520387,2550.664486520387,0.0,0
Walker2d-v4,foot_left_friction,0.5,2,tvc250,3061.340822033946,2024.1713824293329,1037.1694396046132,3
Walker2d-v4,foot_left_friction,0.5,3,tvc250,3139.1264441960666,2006.410210768213,1132.7162334278537,2
Walker2d-v4,foot_left_friction,0.5,4,tvc275,2863.42697036876,224.21205586090468,2639.2149145078556,7
Walker2d-v4,foot_left_friction,0.5,5,tvc250,872.2086643775241,239.91099639578744,632.2976679817366,7
Walker2d-v4,foot_left_friction,0.5,6,vanilla,1803.323840565304,1803.323840565304,0.0,0
Walker2d-v4,foot_left_friction,0.5,7,tvc275,1953.500580895805,1345.5646412270737,607.9359396687312,2
Walker2d-v4,foot_left_friction,0.5,8,tvc200,1190.475587074726,888.8383747642516,301.6372123104744,1
Walker2d-v4,foot_left_friction,0.5,9,vanilla,927.9872649053372,927.9872649053372,0.0,0
Walker2d-v4,foot_left_friction,0.5,10,vanilla,737.8349774085357,737.8349774085357,0.0,0
Walker2d-v4,foot_left_friction,0.5,11,tvc225,806.8500380954277,650.2522217430327,156.59781635239506,1
Walker2d-v4,foot_left_friction,0.5,12,tvc300,3190.345440851753,3106.8050990137835,83.54034183796966,1
Walker2d-v4,foot_left_friction,0.5,13,tvc250,717.0529880453122,337.516787205184,379.5362008401282,7
Walker2d-v4,foot_left_friction,0.5,14,tvc250,868.6836523811007,493.4766417883201,375.20701059278065,3
Walker2d-v4,foot_left_friction,0.5,15,vanilla,3326.7349905299343,3326.7349905299343,0.0,0
Walker2d-v4,foot_left_friction,0.5,16,tvc225,752.4263079073958,634.3587984854173,118.06750942197846,3
Walker2d-v4,foot_left_friction,0.5,17,tvc300,1479.1420123635023,997.1805110760966,481.96150128740567,2
Walker2d-v4,foot_left_friction,0.5,18,tvc275,1013.4682140396616,729.107779704493,284.3604343351685,3
Walker2d-v4,foot_left_friction,0.5,19,vanilla,2784.7975501710634,2784.7975501710634,0.0,0
Walker2d-v4,foot_left_friction,0.5,20,tvc300,3248.4094599822406,616.385812168822,2632.0236478134184,4
Walker2d-v4,foot_left_friction,0.5,21,tvc250,1806.467241296766,1129.5163730174154,676.9508682793505,2
Walker2d-v4,foot_left_friction,0.5,22,tvc300,1305.4189204548345,948.714556032026,356.70436442280845,1
Walker2d-v4,foot_left_friction,0.5,23,tvc250,1157.3442677083174,677.9097558507128,479.43451185760455,4
Walker2d-v4,foot_left_friction,0.5,24,tvc250,2513.237398901473,1110.1234056850249,1403.1139932164483,2
Walker2d-v4,foot_left_friction,0.5,25,tvc300,1904.7401411040016,1050.1571089002755,854.5830322037261,1
Walker2d-v4,foot_left_friction,0.5,26,vanilla,729.5405814099952,729.5405814099952,0.0,0
Walker2d-v4,foot_left_friction,0.5,27,tvc275,701.544206880683,445.4628569886546,256.08134989202836,6
Walker2d-v4,foot_left_friction,0.5,28,tvc200,1045.9246034688106,729.6932624202493,316.23134104856126,1
Walker2d-v4,foot_left_friction,0.5,29,tvc250,950.928045531004,471.9238607113264,479.0041848196776,4
Walker2d-v4,foot_left_friction,0.5,30,vanilla,2866.5598384634345,2866.5598384634345,0.0,0
Walker2d-v4,foot_left_mass,0.5,1,vanilla,2046.48344038318,2046.48344038318,0.0,0
Walker2d-v4,foot_left_mass,0.5,2,tvc250,3218.6654759340936,882.4565224251503,2336.2089535089435,4
