env_id,model_label,threshold,survival,baseline_survival,survival_delta
Walker2d-v5,klprho0p05,0.17500000000000002,0.7927619047619048,0.8342698412698413,-0.04150793650793651
Walker2d-v5,klprho0p05,0.18,0.790531746031746,0.8323174603174603,-0.04178571428571429
Walker2d-v5,klprho0p05,0.185,0.7886746031746033,0.830642857142857,-0.04196825396825395
Walker2d-v5,klprho0p05,0.19,0.7866746031746031,0.8286587301587302,-0.04198412698412698
Walker2d-v5,klprho0p05,0.195,0.7845079365079365,0.8263730158730158,-0.041865079365079355
Walker2d-v5,klprho0p05,0.2,0.7820873015873016,0.8248095238095239,-0.042722222222222224
Walker2d-v5,klprho0p05,0.20500000000000002,0.7794761904761904,0.8227063492063491,-0.04323015873015871
Walker2d-v5,klprho0p05,0.21,0.7772857142857144,0.8201031746031745,-0.04281746031746031
Walker2d-v5,klprho0p05,0.215,0.7750714285714285,0.8183412698412699,-0.04326984126984126
Walker2d-v5,klprho0p05,0.22,0.7729047619047619,0.8161666666666667,-0.04326190476190476
Walker2d-v5,klprho0p05,0.225,0.7712301587301587,0.8131031746031747,-0.041873015873015874
Walker2d-v5,klprho0p05,0.23,0.7701507936507936,0.8120873015873016,-0.04193650793650793
Walker2d-v5,klprho0p05,0.23500000000000001,0.7679761904761905,0.8103412698412699,-0.04236507936507937
Walker2d-v5,klprho0p05,0.24,0.7668968253968254,0.8083571428571428,-0.041460317460317475
Walker2d-v5,klprho0p05,0.245,0.7644047619047619,0.8070158730158731,-0.04261111111111112
Walker2d-v5,klprho0p05,0.25,0.7623809523809524,0.8058809523809524,-0.0435
Walker2d-v5,klprho0p05,0.255,0.7595793650793651,0.8042539682539683,-0.04467460317460316
Walker2d-v5,klprho0p05,0.26,0.7535952380952381,0.802452380952381,-0.04885714285714285
Walker2d-v5,klprho0p05,0.265,0.7464920634920634,0.8004603174603174,-0.05396825396825398
Walker2d-v5,klprho0p05,0.27,0.742,0.7991904761904762,-0.0571904761904762
Walker2d-v5,klprho0p05,0.275,0.7384999999999999,0.7983492063492064,-0.05984920634920636
Walker2d-v5,klprho0p05,0.28,0.7365714285714285,0.7961190476190476,-0.05954761904761905
Walker2d-v5,klprho0p05,0.28500000000000003,0.7351904761904762,0.7948095238095239,-0.05961904761904763
Walker2d-v5,klprho0p05,0.29,0.7332539682539683,0.7928730158730158,-0.05961904761904763
Walker2d-v5,klprho0p05,0.295,0.731452380952381,0.7919444444444445,-0.0604920634920635
Walker2d-v5,klprho0p05,0.3,0.7297539682539682,0.7900793650793652,-0.060325396825396824
Walker2d-v5,klprho0p05,0.305,0.7275555555555556,0.7889444444444444,-0.061388888888888896
Walker2d-v5,klprho0p05,0.31,0.725468253968254,0.7873015873015874,-0.06183333333333334
Walker2d-v5,klprho0p05,0.315,0.7237698412698412,0.7857222222222222,-0.06195238095238096
Walker2d-v5,klprho0p05,0.32,0.7222539682539683,0.7850396825396826,-0.06278571428571429
Walker2d-v5,klprho0p05,0.325,0.7199682539682539,0.7840079365079365,-0.06403968253968255
Walker2d-v5,klprho0p05,0.33,0.7169603174603175,0.7825873015873016,-0.06562698412698413
Walker2d-v5,klprho0p05,0.335,0.715952380952381,0.7817777777777778,-0.06582539682539683
Walker2d-v5,klprho0p05,0.34,0.7133809523809524,0.7807857142857143,-0.0674047619047619
Walker2d-v5,klprho0p05,0.34500000000000003,0.712015873015873,0.7797460317460317,-0.06773015873015872
Walker2d-v5,klprho0p05,0.35000000000000003,0.7099126984126984,0.7780476190476191,-0.06813492063492063
Walker2d-v5,klprho0p05,0.355,0.7087301587301587,0.7773730158730159,-0.06864285714285714
